STOCK BALANCE DETAILS AS AT 2-11-2022,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price
57,2 GANG 2 WAY GOLD,V15G-2G2W,V15 modular series,379,378.87,"1,260.00"
58,3 GANG 1 WAY GOLD,V15G-3G1W,V15 modular series,1094,396.63,"1,410.00"
59,3 GANG 2 WAY GOLD,V15G-3G2W,V15 modular series,337,501.36,"1,590.00"
60,4 GANG 1 WAY GOLD,V15G-4G1W,V15 modular series,1053,481.60,"1,720.00"
61,4 GANG 2 WAY GOLD,V15G-4G2W,V15 modular series,207,620.56,"1,920.00"
62,BLANK PLATE GOLD,V15G-BP,V15 modular series,775,144.06,690.00
63,COMPUTER SOCKET GOLD,V15G-CSC,V15 modular series,499,279.73,"2,240.00"
64,DOORBELL SWITCH GOLD,V15G-DBS,V15 modular series,850,249.78,"1,120.00"
65,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",V15G-DNDS,V15 modular series,27,637.04,"3,170.00"
66,FAN SPEED 500W GOLD,V15G-FCS,V15 modular series,636,643.63,"2,890.00"
67,HUMEN BODY SENSOR SWITCH GOLD,V15G-HBS,V15 modular series,299,961.40,"3,540.00"
68,40A KEY CARD - GOLD,V15G-KCS,V15 modular series,57,1063.82,"4,960.00"
69,LIGHT DIMMER 500W GOLD,V15G-LDS,V15 modular series,746,547.79,"2,420.00"
70,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,V15G-MFSC,V15 modular series,4469,430.08,"2,240.00"
71,SHAVER 3X3 GOLD,V15G-SHV,V15 modular series,211,1851.51,"5,880.00"
72,SATELLITE SOCKET GOLD,V15G-SLSC,V15 modular series,762,269.85,"2,140.00"
73,3W STAIRWAY BRUSHED COOL - GOLD,V15G-SWCL,V15 modular series,313,353.41,"1,850.00"
74,3W STAIRWAY WITH SENSER WARM - GOLD,V15G-SWSW,V15 modular series,156,545.39,"2,840.00"
75,3W STAIRWAY BRUSHED WARM - GOLD,V15G-SWWL,V15 modular series,315,353.41,"1,850.00"
76,TOUCH DELAY SWITCH GOLD,V15G-TDS,V15 modular series,110,488.19,"2,890.00"
77,TELEPHONE + COMPUTER SOCKET - GOLD,V15G-TPCPM,V15 modular series,292,339.33,"2,420.00"
78,TELEPHONE SOCKET GOLD,V15G-TPSC,V15 modular series,519,233.31,"2,050.00"
79,TV SOCKET GOLD,V15G-TVSC,V15 modular series,453,233.31,"2,050.00"
80,VOICE COTROL SWITCH GOLD,V15G-VCS,V15 modular series,31,504.66,"2,980.00"
81,13A SWITCHED SOCKET WITH NEON SP PEARL,V15W-13NSC,V15 modular series,3954,312.38,"1,730.00"
82,13A SWITCHED SOCKET -SP-PERAL,V15W-13SSC,V15 modular series,10,299.50,"1,540.00"
83,13A SWITCHED SOCKET WITH NEON +USB PEARL,V15W-13USC,V15 modular series,4,773.61,"2,700.00"
84,1 GANG 1 WAY  PEARL,V15W-1G1W,V15 modular series,1150,180.90,690.00
85,1 GANG 2 WAY  PEARL,V15W-1G2W,V15 modular series,627,209.95,980.00
86,1 GAN 3 WAY WHITE - INTERMIDIATE,V15W-1G3W,V15 modular series,639,315.37,"3,540.00"
87,20A SWITCH WITH NEON PEARL,V15W-20NS,V15 modular series,373,414.18,"2,700.00"
88,2 GANG 1 WAY  PEARL,V15W-2G1W,V15 modular series,1373,248.29,"1,060.00"
89,2 GANG 2 WAY PEARL,V15W-2G2W,V15 modular series,466,315.37,"1,200.00"
90,3 GANG 1 WAY PEARL,V15W-3G1W,V15 modular series,1307,321.96,"1,340.00"
91,3 GANG 2 WAY PEARL,V15W-3G2W,V15 modular series,596,421.10,"1,520.00"
92,4 GANG 1 WAY PEARL,V15W-4G1W,V15 modular series,1642,389.05,"1,650.00"
93,4 GANG 2 WAY PEARL,V15W-4G2W,V15 modular series,726,526.82,"1,860.00"
94,BLANK PLATE PEARL,V15W-BP,V15 modular series,786,97.64,610.00
95,COMPUTER SOCKET PEARL,V15W-CSC,V15 modular series,421,232.11,"2,140.00"
96,DOORBELL SWITCH PEARL,V15W-DBS,V15 modular series,986,200.07,"1,060.00"
97,"DOORBELL SWITCH ""DONT DISTURB"" - PEARL",V15W-DNDS,V15 modular series,141,575.04,"2,980.00"
98,FAN SPEED 500W PEARL,V15W-FCS,V15 modular series,1208,581.33,"2,790.00"
99,HUMEN BODY SENSOR SWITCH PEARL,V15W-HBS,V15 modular series,204,892.21,"3,450.00"
100,40A KEY CARD - PEARL,V15W-KCS,V15 modular series,1,988.05,"4,790.00"
101,LIGHT DIMMER 500W PEARL,V15W-LDS,V15 modular series,741,488.48,"2,330.00"
102,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,V15W-MFSC,V15 modular series,5773,374.67,"2,140.00"
103,SHAVER 3X3 PEARL,V15W-SHV,V15 modular series,179,1753.87,"5,800.00"
104,SATELLITE SOCKET PEARL,V15W-SLSC,V15 modular series,647,219.53,"2,050.00"
105,3W STAIRWAY BRUSHED COOL - PEARL,V15W-SWCL,V15 modular series,261,327.35,"1,770.00"
106,3W STAIRWAY WITH SENSER WARM - PEARL,V15W-SWSW,V15 modular series,322,519.63,"2,700.00"
107,3W STAIRWAY BRUSHED WARM - PEARL,V15W-SWWL,V15 modular series,94,327.35,"1,770.00"
108,TOUCH DELAY SWITCH PEARL,V15W-TDS,V15 modular series,102,430.98,"2,790.00"
109,TELEPHONE + COMPUTER SOCKET - PEARL,V15W-TPCOM,V15 modular series,270,289.92,"2,330.00"
110,TELEPHONE SOCKET PEARL,V15W-TPSC,V15 modular series,554,184.19,"1,960.00"
111,TV SOCKET PEARL,V15W-TVSC,V15 modular series,497,184.19,"1,960.00"
112,VOICE COTROL SWITCH PEARL,V15W-VCS,V15 modular series,96,450.15,"2,890.00"
113,BACK PC PART,1000,RM,0,0.00,
114,SCREWS,1001,RM,0,0.00,
115,LIVE SWITCH COPPER PART,1002,RM,0,0.00,
116,COPPER SWITCH PART,1003,RM,0,0.00,
117,LIVE COPPER PART,1004,RM,0,0.00,
118,NEUTRAL COPPER PART,1005,RM,0,0.00,
119,BRASS EARTH PART,1006,RM,0,0.00,
120,FRONT PC PART,1007,RM,0,0.00,
121,SWTICH PC PART - PEARL,1008,RM,0,0.00,
