,"Back-dated Inventory Valuatuon Report
Valuation as of 01/09/2022 ",LOCATION,,
V15G-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",86,86,3170.00
V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,713,398,1850.00
V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GOLD,7,156,2840.00
V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,292,336,1850.00
V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,92,291,2420.00
V15G-1G3W,1 GANG 3 WAY GOLD - INTERMEDIATE,347,658,3630.00
V15G-13SSC,13A SWITCHED SOCKET -SP-GOLD,"2,446","1,784",1620.00
H60G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD - H60,33,33,1.00
,,,,
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
V15W-1G1W,1 GANG 1 WAY  PEARL,"1,200","1,452",690.00
V15W-1G2W,1 GANG 2 WAY  PEARL,224,768,980.00
V15W-2G1W,2 GANG 1 WAY  PEARL,"1,270","1,574",1060.00
V15W-2G2W,2 GANG 2 WAY PEARL,544,556,1200.00
V15W-3G1W,3 GANG 1 WAY PEARL,"1,438","1,540",1340.00
V15W-4G1W,4 GANG 1 WAY PEARL,"1,653","1,850",1650.00
V15W-DBS,DOORBELL SWITCH PEARL,871,"1,039",1060.00
V15W-20NS,20A SWITCH WITH NEON PEARL,216,438,2700.00
V15W-13USC,13A SWITCHED SOCKET WITH NEON +USB PEARL,163,94,2700.00
V15W-BP,BLANK PLATE PEARL,"1,073",861,610.00
V15W-SLSC,SATELLITE SOCKET PEARL,444,629,2050.00
V15W-CSC,COMPUTER SOCKET PEARL,270,440,2140.00
V15W-FCS,FAN SPEED 500W PEARL,705,"1,262",2790.00
V15W-LDS,LIGHT DIMMER 500W PEARL,295,746,2330.00
V15W-SHV,SHAVER 3X3 PEARL,179,179,5800.00
V15W-HBS,HUMEN BODY SENSOR SWITCH PEARL,132,205,3450.00
V15W-TDS,TOUCH DELAY SWITCH PEARL,101,102,2790.00
V15W-VCS,VOICE COTROL SWITCH PEARL,85,97,2890.00
V15W-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,"8,060","6,217",2140.00
V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,"3,140","5,066",1730.00
V15W-4G2W,4 GANG 2 WAY PEARL,258,776,1860.00
V15W-3G2W,3 GANG 2 WAY PEARL,369,677,1520.00
